Compressor name         Compress. Decompress. Compr. size  Ratio Filename
lz4 1.10.0               1864 MB/s 14074 MB/s     1306813  99.85 /tmp/ait_train/A
zstd 1.5.7 -1             914 MB/s  2129 MB/s      685893  52.41 /tmp/ait_train/A
zstd 1.5.7 -3            81.8 MB/s  1001 MB/s      700405  53.52 /tmp/ait_train/A
zstd 1.5.7 -9            42.6 MB/s   537 MB/s      712171  54.42 /tmp/ait_train/A
lizard 2.1 -10           1059 MB/s 16175 MB/s     1308806 100.00 /tmp/ait_train/A
lizard 2.1 -20            311 MB/s 16264 MB/s     1308806 100.00 /tmp/ait_train/A
lizard 2.1 -30            461 MB/s  1288 MB/s      772977  59.06 /tmp/ait_train/A
lizard 2.1 -45           8.35 MB/s   683 MB/s      737474  56.35 /tmp/ait_train/A
misa77 0.6.0 --1          389 MB/s 13940 MB/s     1304637  99.68 /tmp/ait_train/A
misa77 0.6.0 -1          53.4 MB/s 13686 MB/s     1301890  99.47 /tmp/ait_train/A
misa77 0.6.0 -2          17.1 MB/s  4103 MB/s     1138704  87.01 /tmp/ait_train/A
misa77 0.6.0 -4          5.78 MB/s  1401 MB/s     1101181  84.14 /tmp/ait_train/A
lz4 1.10.0                457 MB/s  3426 MB/s      437158  37.40 /tmp/ait_train/B
zstd 1.5.7 -1             310 MB/s  1248 MB/s      300209  25.69 /tmp/ait_train/B
zstd 1.5.7 -3             193 MB/s  1045 MB/s      269770  23.08 /tmp/ait_train/B
zstd 1.5.7 -9            52.0 MB/s  1221 MB/s      234378  20.05 /tmp/ait_train/B
lizard 2.1 -10            412 MB/s  3012 MB/s      437963  37.47 /tmp/ait_train/B
lizard 2.1 -20            309 MB/s  1581 MB/s      418436  35.80 /tmp/ait_train/B
lizard 2.1 -30            306 MB/s  1266 MB/s      374644  32.05 /tmp/ait_train/B
lizard 2.1 -45           17.3 MB/s  1271 MB/s      269683  23.07 /tmp/ait_train/B
misa77 0.6.0 --1          245 MB/s  5820 MB/s      419505  35.89 /tmp/ait_train/B
misa77 0.6.0 -1          59.5 MB/s  6366 MB/s      367979  31.48 /tmp/ait_train/B
misa77 0.6.0 -2          50.5 MB/s  6223 MB/s      349769  29.93 /tmp/ait_train/B
misa77 0.6.0 -4          6.79 MB/s  4335 MB/s      316767  27.10 /tmp/ait_train/B
lz4 1.10.0                480 MB/s  3884 MB/s      969681  48.48 /tmp/ait_train/C
zstd 1.5.7 -1             306 MB/s  1147 MB/s      673573  33.68 /tmp/ait_train/C
zstd 1.5.7 -3             150 MB/s   886 MB/s      623873  31.19 /tmp/ait_train/C
zstd 1.5.7 -9            45.5 MB/s   861 MB/s      564427  28.22 /tmp/ait_train/C
lizard 2.1 -10            402 MB/s  3155 MB/s      970295  48.51 /tmp/ait_train/C
lizard 2.1 -20            267 MB/s  1343 MB/s      953793  47.69 /tmp/ait_train/C
lizard 2.1 -30            289 MB/s  1188 MB/s      808376  40.42 /tmp/ait_train/C
lizard 2.1 -45           14.6 MB/s   898 MB/s      673539  33.68 /tmp/ait_train/C
misa77 0.6.0 --1          273 MB/s  4503 MB/s      930381  46.52 /tmp/ait_train/C
misa77 0.6.0 -1          42.3 MB/s  5436 MB/s      846270  42.31 /tmp/ait_train/C
misa77 0.6.0 -2          36.3 MB/s  5387 MB/s      824371  41.22 /tmp/ait_train/C
misa77 0.6.0 -4          6.87 MB/s  2821 MB/s      801232  40.06 /tmp/ait_train/C
lz4 1.10.0              10930 MB/s 15957 MB/s     2007845 100.39 /tmp/ait_train/D
