codec,orig,csize,ratio,enc_mbs,dec_mbs,files
"lz6 1.6.2-pre seq -15",13136308,5195697,39.552,2.02,320.37,8
"lz6 1.6.2-pre seq -13",13136308,5195790,39.553,6.11,315.20,8
"lz6 1.6.2-pre seq -14",13136308,5195809,39.553,4.90,324.00,8
"lz6 1.6.2-pre seq -12",13136308,5198938,39.577,9.08,324.55,8
"lz6 1.6.2-pre seq -11",13136308,5199040,39.578,9.22,331.29,8
"lz6 1.6.2-pre seq -10",13136308,5222695,39.758,19.12,340.77,8
"lz6 1.6.2-pre seq -9",13136308,5241048,39.897,19.78,340.57,8
"lz6 1.6.2-pre seq -6",13136308,5285184,40.233,27.60,333.17,8
"lz6 1.6.2-pre seq -7",13136308,5285184,40.233,27.73,335.72,8
"lz6 1.6.2-pre seq -8",13136308,5285197,40.234,28.01,327.10,8
"lz6 1.6.2-pre seq -3",13136308,5375855,40.924,69.96,356.16,8
"lz6 1.6.2-pre seq -4",13136308,5404438,41.141,53.10,337.58,8
"lz6 1.6.2-pre seq -5",13136308,5404438,41.141,53.70,337.16,8
"lz6 1.6.2-pre seq -2",13136308,5433041,41.359,91.38,389.02,8
"lz6 1.6.2-pre seq -1",13136308,5561279,42.335,100.44,401.96,8
"brotli 1.2.0 -11",13136308,7041245,53.601,0.54,210.49,8
"fastlzma2 1.0.1 -10",13136308,7067576,53.802,6.20,46.97,8
"uf-lzma2 1.1.0 -10",13136308,7067576,53.802,6.23,63.93,8
"fastlzma2 1.0.1 -5",13136308,7086428,53.945,8.63,46.47,8
"uf-lzma2 1.1.0 -5",13136308,7086428,53.945,8.57,62.76,8
"xz 5.8.3 -6",13136308,7114024,54.155,3.34,65.91,8
"xz 5.8.3 -9",13136308,7114024,54.155,3.04,63.56,8
"fastlzma2 1.0.1 -1",13136308,7330324,55.802,16.32,49.31,8
"uf-lzma2 1.1.0 -1",13136308,7330324,55.802,16.36,70.44,8
"zstd 1.5.7 -19",13136308,7351946,55.967,4.68,1052.59,8
"xz 5.8.3 -3",13136308,7379360,56.175,6.02,62.17,8
"xz 5.8.3 -1",13136308,7435760,56.605,8.28,60.58,8
"brotli 1.2.0 -9",13136308,7468536,56.854,13.04,303.33,8
"brotli 1.2.0 -6",13136308,7489339,57.013,30.82,297.51,8
"zstd 1.5.7 -15",13136308,7530938,57.329,12.85,1022.94,8
"zstd 1.5.7 -12",13136308,7552509,57.493,36.09,1012.76,8
"zstd 1.5.7 -9",13136308,7578176,57.689,64.33,996.31,8
"brotli 1.2.0 -4",13136308,7591522,57.790,73.39,326.61,8
"zstd 1.5.7 -5",13136308,7619521,58.004,126.90,961.96,8
"zstd 1.5.7 -3",13136308,7695386,58.581,192.42,1062.91,8
"zlib 1.3.2 -9",13136308,7786253,59.273,6.81,287.05,8
"zlib 1.3.2 -6",13136308,7814687,59.489,19.89,294.55,8
"brotli 1.2.0 -1",13136308,7855241,59.798,255.92,278.41,8
"zstd 1.5.7 -1",13136308,7869981,59.910,432.40,1342.16,8
"lizard 2.1 -49",13136308,8041060,61.212,5.10,1552.79,8
"zlib 1.3.2 -1",13136308,8094068,61.616,53.08,291.90,8
"lizard 2.1 -45",13136308,8253375,62.829,14.90,1543.60,8
"lizard 2.1 -40",13136308,8481600,64.566,329.79,1491.72,8
"lz5 v1.5 HC -15",13136308,8603507,65.494,2.00,919.81,8
"lz5 v1.5 HC -12",13136308,8720302,66.383,10.54,990.01,8
"lizard 2.1 -30",13136308,8756123,66.656,430.42,1909.10,8
"misa77 0.6.0 -3",13136308,8867044,67.500,9.61,5471.21,8
"lz5 v1.5 HC -9",13136308,8900815,67.757,18.31,1076.73,8
"lz6 1.6.2-pre HC -15",13136308,8996054,68.482,10.07,1653.04,8
"lz6 1.6.2-pre HC -12",13136308,8996268,68.484,10.88,1655.79,8
"lz5 v1.5 HC -6",13136308,9066986,69.022,37.92,1348.02,8
"misa77 0.6.0 -4",13136308,9070575,69.050,6.96,3534.67,8
"lz6 1.6.2-pre HC -6",13136308,9190747,69.964,41.63,1567.10,8
"misa77 0.6.0 -2",13136308,9287323,70.700,36.00,6587.55,8
"lz5 v1.5",13136308,9469498,72.086,306.12,1161.97,8
"misa77 0.6.0 -0",13136308,9554603,72.734,212.96,7255.05,8
"misa77 0.6.0 -1",13136308,9628088,73.294,48.89,7762.40,8
"lizard 2.1 -20",13136308,9761531,74.310,443.28,2472.34,8
"lizard 2.1 -10",13136308,9926082,75.562,610.15,4684.24,8
"lz4 1.10.0",13136308,9938605,75.658,689.32,4637.67,8
"misa77 0.6.0 --1",13136308,10041718,76.442,327.81,7400.44,8
"lz5 v1.5 HC -1",13136308,10441177,79.483,492.14,2259.57,8
"memlz 0.2 beta",13136308,10724346,81.639,1872.46,1712.66,8
