codec,orig,csize,ratio,enc_mbs,dec_mbs,files
"uf-lzma2 1.1.0 -11",211938580,48483163,22.876,1.23,118.31,12
"fastlzma2 1.0.1 -10",211938580,48673262,22.966,3.34,81.01,12
"uf-lzma2 1.1.0 -10",211938580,48673262,22.966,3.33,110.50,12
"xz 5.8.3 -9",211938580,48795480,23.023,2.49,103.69,12
"brotli 1.2.0 -11",211938580,50328370,23.747,0.50,365.58,12
"fastlzma2 1.0.1 -5",211938580,51124925,24.123,5.93,77.89,12
"uf-lzma2 1.1.0 -5",211938580,51124925,24.123,6.05,106.99,12
"zstd 1.5.7 -19",211938580,52891946,24.956,2.66,777.78,12
"lz6 1.6.3-pre seq -15",211938580,56210308,26.522,2.19,492.54,12
"lz6 1.6.3-pre seq -11",211938580,56708234,26.757,3.69,488.38,12
"xz 5.8.3 -1",211938580,58716448,27.704,15.46,94.94,12
"fastlzma2 1.0.1 -1",211938580,58993508,27.835,17.76,65.11,12
"uf-lzma2 1.1.0 -1",211938580,58993508,27.835,18.07,96.36,12
"lizard 2.1 -49",211938580,60667327,28.625,1.83,1157.86,12
"lz6 1.6.3-pre seq -9",211938580,61914243,29.213,17.15,450.91,12
"zstd 1.5.7 -5",211938580,62751501,29.608,99.13,778.59,12
"lz5 v1.5 HC -15",211938580,65595195,30.950,2.12,739.49,12
"lz6 1.6.3-pre seq -5",211938580,67669430,31.929,33.66,399.91,12
"lz6 1.6.3-pre seq -3",211938580,67818086,31.999,35.51,430.58,12
"lz6 1.6.3-pre seq -2",211938580,67826536,32.003,39.30,446.38,12
"zlib 1.3.2 -6",211938580,68220487,32.189,26.27,330.81,12
"lz6 1.6.3-pre seq -1",211938580,71030356,33.515,40.98,438.40,12
"zstd 1.5.7 -1",211938580,73229468,34.552,347.82,1172.57,12
"brotli 1.2.0 -1",211938580,73429961,34.647,207.88,328.57,12
"zlib 1.3.2 -1",211938580,77246811,36.448,75.66,288.63,12
"misa77 0.6.0 -3",211938580,80028169,37.760,10.50,4537.45,12
"lz5 v1.5 HC -6",211938580,80576517,38.019,47.24,1153.05,12
"lz6 1.6.3-pre HC -15",211938580,81308534,38.364,5.54,1274.42,12
"lizard 2.1 -30",211938580,85765250,40.467,323.28,1219.91,12
"lz5 v1.5",211938580,88218423,41.625,231.93,690.74,12
"misa77 0.6.0 -1",211938580,90385225,42.647,50.61,5189.77,12
"misa77 0.6.0 --1",211938580,99073179,46.746,264.12,4783.91,12
"lz4 1.10.0",211938580,100880147,47.599,542.91,3545.61,12
"lz5 v1.5 HC -1",211938580,113525877,53.565,508.61,1637.33,12
"memlz 0.2 beta",211938580,126970186,59.909,963.18,887.82,12
